Label,Method_Over,Model,MinorityMultiplier,APPLY_TOMEK,F1_mean,F1_std,BAS_mean,BAS_std,GM_mean,GM_std
"Respiratory, thoracic and mediastinal disorders",ADASYN,RandomForest,1.3,False,0.831057974820259,0.022659212246620174,0.5282931568227414,0.009154623760610776,0.34613678259205216,0.025196251323413476
"Respiratory, thoracic and mediastinal disorders",ADASYN,Xgboost,1.3,False,0.8183084363704118,0.01122881881092596,0.5612526071943365,0.017253039160908975,0.46417894899364426,0.027282436008250123
"Respiratory, thoracic and mediastinal disorders",RandomOverSampler,RandomForest,1.3,False,0.8107816844114328,0.009300272433442017,0.6041318377616152,0.0195583808891076,0.5585316007162137,0.032382308040288174
"Respiratory, thoracic and mediastinal disorders",RandomOverSampler,Xgboost,1.3,False,0.7687929367202793,0.021817064844581784,0.600240083128924,0.029063959123931258,0.5817432144293895,0.03621597737951277
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",SMOTE,RandomForest,1.3,False,0.3274900040310454,0.044834747600985665,0.5911316867085676,0.01875171729963862,0.45357088292735676,0.0359627122180936
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",SMOTE,Xgboost,1.3,False,0.41104261904821016,0.058199015899602836,0.6160361352667284,0.03151041610521817,0.5467036623207315,0.04859983069483849
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",ADASYN,RandomForest,1.3,False,0.34564317576139486,0.04443858380718558,0.5981358183768325,0.019765555518710426,0.46851320602296764,0.03588237365743754
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",ADASYN,Xgboost,1.3,False,0.3989115924036413,0.054948382808970346,0.6092750689986256,0.029304028788056175,0.5358209249654504,0.04184236327988244
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",RandomOverSampler,RandomForest,1.3,False,0.4620536317416352,0.04290190715858676,0.6420101906366015,0.022243029211359996,0.5951348513582568,0.03898395796637663
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",RandomOverSampler,Xgboost,1.3,False,0.44708178529975084,0.058441522089732724,0.626515065459225,0.0364321568254141,0.5973685140137542,0.04725693621782892
Immune system disorders,SMOTE,RandomForest,1.3,False,0.8248421135738591,0.0178342343400192,0.5503914319684599,0.02073559791533271,0.3925465358541622,0.048952700539046864
Immune system disorders,SMOTE,Xgboost,1.3,False,0.8060713745619935,0.009674229909406907,0.5600241013180247,0.014872462042451828,0.45997184740787844,0.03071893891316887
Immune system disorders,ADASYN,RandomForest,1.3,False,0.824341172869306,0.020297768341312604,0.5486837603529076,0.0167824260423524,0.3909750070002507,0.02853039151741836
Immune system disorders,ADASYN,Xgboost,1.3,False,0.8112529807475386,0.012066464859423623,0.5713018416480656,0.015826097303798584,0.4775641310182418,0.034442723782112876
Immune system disorders,RandomOverSampler,RandomForest,1.3,False,0.7754675575652599,0.016856950234710535,0.5909070228536786,0.02822497267260192,0.5582691581476439,0.0342037725348156
Immune system disorders,RandomOverSampler,Xgboost,1.3,False,0.7454270265222522,0.02774557281225474,0.5893212577708675,0.03952199426595884,0.5735473152031202,0.04251178535688326
Ear and labyrinth disorders,SMOTE,RandomForest,1.3,False,0.5780038051510324,0.013163180554599096,0.6162650518864299,0.01447428551752748,0.6132656408996515,0.014398674732605999
Ear and labyrinth disorders,SMOTE,Xgboost,1.3,False,0.5619213468791266,0.020118845076622528,0.6008339612435301,0.01660264106858259,0.597532029267232,0.017729145682353585
Ear and labyrinth disorders,ADASYN,RandomForest,1.3,False,0.5814706447882729,0.013113814673296496,0.6233270397690929,0.02127469175472263,0.6191200862858869,0.018612055784844955
Ear and labyrinth disorders,ADASYN,Xgboost,1.3,False,0.5586236290947919,0.032097797313652046,0.6013400675383315,0.022410601076157038,0.5974754233254622,0.02483528298216293
Ear and labyrinth disorders,RandomOverSampler,RandomForest,1.3,False,0.5991814659803536,0.02581442848928764,0.6153269019221532,0.020427438208898953,0.6137991819324217,0.020742825480366784
Ear and labyrinth disorders,RandomOverSampler,Xgboost,1.3,False,0.5718196893798552,0.015379094977182204,0.5923416556012852,0.020931067246742662,0.5914626369283715,0.020442283486931313
